group,subject,week,session,error_type,message,start_time,end_time,duration_s,length
Supervised,sub8000,1,3,missing,missing significant time,00:44:24,00:45:28,64.0,
Supervised,sub8000,1,3,missing,missing significant time,00:45:37,00:49:41,244.0,
Supervised,sub8000,1,3,missing,missing significant time,00:49:50,00:51:15,85.0,
Supervised,sub8000,1,3,missing,missing significant time,00:53:18,00:53:57,39.0,
Supervised,sub8000,3,14,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8000,4,17,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8000,5,21,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8000,5,25,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8002,2,7,missing,missing significant time,00:44:03,00:44:38,35.0,
Supervised,sub8002,3,11,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8002,5,21,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8002,6,26,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8002,6,26,nan,more than 30 NaNs in a row,,,,5064
Supervised,sub8003,1,3,duration,recording longer than 4 hours; file ignored,00:00:00,18:46:08,67568.0,
Supervised,sub8003,1,4.1,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8003,2,6,nan,more than 30 NaNs in a row,00:46:23,01:39:10,3167.0,3168
Supervised,sub8003,2,8,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8003,2,8,nan,more than 30 NaNs in a row,00:40:46,00:43:13,147.0,148
Supervised,sub8003,2,9,duration,recording longer than 4 hours; file ignored,00:00:00,05:03:49,18229.0,
Supervised,sub8003,3,12,missing,missing significant time,00:44:30,00:45:02,32.0,
Supervised,sub8003,3,12,missing,missing significant time,00:45:59,00:46:40,41.0,
Supervised,sub8003,3,15,missing,missing significant time,00:40:29,00:45:09,280.0,
Supervised,sub8003,4,16,nan,more than 30 NaNs in a row,00:51:45,00:56:59,314.0,315
Supervised,sub8003,4,18,duration,recording longer than 4 hours; file ignored,00:00:00,21:12:48,76368.0,
Supervised,sub8003,4,19,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8003,5,21,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8003,5,22,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8003,5,24,bounded_short,bounded time target not met without dropping below zone floor,,,,
Supervised,sub8003,6,27,duration,recording longer than 4 hours; file ignored,00:00:00,01:20:36,91236.0,
